Time,Cars,Motorcycles,Buses,Trucks,Total,Density
14:52:45,14,0,0,1,15,MEDIUM
14:52:46,12,0,0,2,14,MEDIUM
14:52:46,11,0,0,1,12,MEDIUM
14:52:47,12,0,0,1,13,MEDIUM
14:52:47,12,0,0,1,13,MEDIUM
14:52:48,12,0,0,1,13,MEDIUM
14:52:49,11,0,0,1,12,MEDIUM
14:52:49,12,0,0,2,14,MEDIUM
14:52:50,12,0,0,1,13,MEDIUM
14:52:51,14,0,0,1,15,MEDIUM
14:52:51,13,0,0,1,14,MEDIUM
14:52:52,11,0,0,1,12,MEDIUM
14:52:53,12,0,1,2,15,MEDIUM
14:52:53,14,0,1,0,15,MEDIUM
14:52:54,12,0,0,1,13,MEDIUM
14:52:54,13,0,0,0,13,MEDIUM
14:52:55,11,0,0,1,12,MEDIUM
14:52:56,12,0,0,0,12,MEDIUM
